id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
1,water,23.455133268995898,75.44204089060945,-28.03581910820008,-25.9744515375473,-42.74808813704585,-48.30907584618648,-33.413468720459136,-29.45189251628335,-30.33800306324118,-24.90933063507356,-29.173112806192457,-34.53207700322869,-27.34743985567796,-48.30932686568559
2,water,23.45922761656601,75.44787737742585,-38.87801548261534,-30.13663863658816,-34.59185543971006,-27.65654542232937,-31.91865102914837,-30.326926412389167,-30.558426870390623,-32.62570999116556,-48.31177894912006,-26.928833720928797,-33.63702461256571,-48.31215196914514
3,water,23.45639308177028,75.44856402293367,-46.357176489163294,-29.823069344930204,-27.85170725720771,-31.11821058080208,-27.20389153606179,-25.852339903128204,-24.45156743424364,-31.786312040262047,-26.62437303334333,-33.59095115263947,-31.075684052082455,-31.082742735191115
4,water,23.45607812970348,75.45337054148835,-25.27551602875676,-25.79772012396016,-28.306186623564788,-34.54637257125271,-24.66893025141539,-37.25048080408731,-34.20743815482764,-26.983744083244265,-30.29692582270385,-25.83427747880628,-26.02887035773925,-24.16328549699362
5,water,23.45544822331628,75.4447874726407,-28.454403748651103,-30.076516812121746,-27.7086007084802,-40.374351880027454,-39.31914120514121,-26.12331287969336,-38.4065127354277,-32.38342199574837,-48.31050910032761,-33.69109124377094,-25.905158382730114,-32.02609385468163
6,water,23.454503358101576,75.44959399119539,-33.954180708995366,-31.076553654289576,-24.38193396507671,-30.506325627520678,-27.442332650639933,-26.067798139744525,-23.900426873308515,-31.143193363976387,-44.718934895255785,-48.31376679503742,-24.00043607427729,-19.657793758371533
7,water,23.49386701189612,75.69163653269929,-46.73249720173688,-45.42194048407495,-24.14415822516969,-29.86917249513329,-31.959442183508425,-30.90446049684805,-39.78559308643827,-26.98973977850333,-29.309505533864684,-25.015098796073865,-24.637639435531888,-30.702372282227124
8,water,23.49071835186805,75.68854662791414,-38.58991173291655,-33.99039066475593,-27.42192299724307,-39.7628876016555,-25.52846137185404,-29.796450590409265,-28.105643273929925,-26.638483412672397,-26.039931252613485,-26.790713495352723,-31.93730581296586,-27.61334218158484
9,water,23.490403481728816,75.69060656443757,-28.578346524588277,-29.224333261839384,-33.894240552094544,-31.904095054681218,-25.07216178800682,-39.93020978952086,-22.921482389469688,-48.44910175830539,-48.449303514839386,-33.1412904645983,-48.44548361663051,-50.23900229453141
10,water,23.48914399365152,75.69129320994539,-32.99697276744218,-29.42048759199484,-24.49509844092329,-48.45001526513571,-28.445604347696776,-30.40984942178664,-33.62183756360834,-38.60984233242946,-24.8260266468971,-48.45034561218638,-29.98285641386356,-34.25056061781825
11,water,23.48851424510075,75.69094988719148,-23.39557569856272,-32.468614874196234,-23.77877763626016,-15.781750530622585,-13.415899450437934,-18.86618590746672,-20.564182518497827,-19.27922367467183,-16.679164359933434,-18.103291646270826,-17.474967749162744,-20.97453634456724
12,water,23.453873444202596,75.68305346385164,-48.42375980554091,-37.92625657361175,-29.084749250861776,-26.56370558841926,-24.242663324897112,-18.22820424012926,-16.521638597197644,-18.71442136297296,-18.476570814896927,-18.59619374596559,-21.486017876270203,-20.409809917245468
