id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
1,water,23.455133268995898,75.44204089060945,-19.464464986283367,-23.506806977275257,-20.71991172446136,-23.73698638839599,-19.05383927107602,-16.65422742526303,-24.330152698214768,-21.29660303846688,-20.85201937421004,-21.37343267550408,-24.63671350837877,-31.07349057811157
2,water,23.45922761656601,75.44787737742585,-23.309981748458853,-25.731720085855677,-22.669719393406154,-22.938385694524467,-21.543342132908897,-30.29079166343547,-26.42123983826316,-22.713896083008198,-21.24722787001348,-21.606550790139195,-26.459682147522056,-22.024116954076728
3,water,23.45639308177028,75.44856402293367,-25.96817024898616,-21.572238386132483,-16.215875044848854,-23.91256674438447,-20.018047301359942,-21.57421363619523,-24.007697463079552,-26.36012887009035,-25.844401014538427,-20.48049014514262,-19.25683162982973,-18.78450132551465
4,water,23.45607812970348,75.45337054148835,-22.30877531023193,-20.390793949991025,-26.719977955237763,-20.838059717798384,-20.224581167996035,-22.594739384163525,-23.794642104352693,-18.22248511930705,-15.390635695176943,-19.310735678097007,-16.19742546473929,-18.0570181284331
5,water,23.45544822331628,75.4447874726407,-21.49942412850531,-25.04775110715127,-16.850749036689972,-24.44223493383451,-20.86995737474291,-22.21879250559917,-22.80287002399447,-22.094953545946872,-24.310594655553203,-21.805306853581907,-24.04547541643585,-22.282323716855814
6,water,23.454503358101576,75.44959399119539,-22.793417212937804,-21.24765722298799,-14.696076772441796,-26.229714869261585,-18.607644117172843,-19.410141785861857,-25.05179579933485,-27.71900237774522,-27.370749217944457,-37.694207257671046,-19.187673199902477,-14.091577947795903
7,water,23.49386701189612,75.69163653269929,-21.75533925477817,-21.10510619689442,-18.95861373610749,-30.13488749162581,-18.478305884386412,-19.13206154875076,-26.70942887463611,-26.03743258226786,-32.07290922761161,-26.346254434606102,-25.839370823171464,-21.96299000017723
8,water,23.49071835186805,75.68854662791414,-26.1635050002719,-24.04044147909172,-21.12457306431861,-23.19776074793615,-17.43941399878682,-24.198079422163254,-24.49382560493625,-24.731930106350987,-31.555102954527804,-22.793235992150404,-20.152975893668252,-38.51998112771816
9,water,23.490403481728816,75.69060656443757,-22.01256097208239,-25.47433215176161,-14.344275171835644,-21.76454451068096,-19.48608081081803,-22.80615236787428,-24.878821329101868,-22.680233685276484,-20.54865797949126,-31.39065365000674,-17.77886300967821,-25.147966588105525
10,water,23.48914399365152,75.69129320994539,-23.51663404890216,-24.67510102759929,-16.00404855316186,-15.579226445642744,-18.9417787625065,-20.74068253771689,-22.656376785709863,-22.028257637281705,-23.95769633864556,-33.02461165248118,-22.830571667273325,-24.005169014347047
11,water,23.48851424510075,75.69094988719148,-22.31506622372525,-15.97390690888002,-12.92603740606834,-7.576006281601384,-4.815571174269136,-6.754767340775102,-7.053582974352914,-5.9360009137787815,-5.784493705104323,-6.151585402324413,-6.447666433208873,-4.513713659249251
12,water,23.453873444202596,75.68305346385164,-34.27971479830108,-24.12543324387332,-19.14718661095685,-21.679828482572145,-14.304988342136577,-11.617328061904429,-11.135202032140054,-9.07278354964471,-8.762485527903777,-8.051484533774595,-8.397420165182503,-7.943812300875654
13,water,23.45607812970348,75.68339678660554,-25.757338650490425,-26.26246106469964,-17.58683027886204,-19.19998723938415,-17.851276406779032,-20.018048519817725,-23.92435273604488,-21.592196582075623,-25.47072422453646,-21.853677834159058,-16.01023777133506,-27.865141890665583
14,water,23.453243527299016,75.68339678660554,-21.729095237689044,-12.357893671723843,-7.728438101063617,-9.883270664142898,-11.691668879168054,-14.60951432929414,-12.863502672017278,-10.30291797127019,-12.055116912818368,-13.347261854438202,-8.63019440215768,-13.76504213870776
15,water,23.38399413494481,75.75518121167626,-9.248058682036476,-8.639033343059383,-11.468096430454503,-11.38606784334555,-12.70182407722742,-9.30661370396319,-8.143764990253693,-10.418270552979289,-9.735467533319191,-10.13488992197816,-9.45942866570246,-10.099509304193022
16,water,23.386830221700944,75.76616753980126,-9.746811054971497,-9.67330907256806,-13.42878286259963,-15.46682967378626,-13.067315219973992,-16.420285321995827,-16.59356539991291,-10.523603750115951,-12.469082406524397,-12.560097902304385,-15.065372202915556,-15.828811448222265
17,water,23.386515103948167,75.76067437573876,-9.856611915691008,-10.383816272446133,-9.513756377512584,-10.56782251341006,-8.755405087336836,-7.494889625013172,-12.176971156996713,-13.998674548257208,-11.62802175585779,-14.25860180088614,-10.867234438482004,-14.274561647222598
18,rice,23.386515103948163,75.8499382917544,-8.551908655342883,-12.016638394426408,-11.43944686817674,-13.93210330862053,-10.47466248431273,-15.753009677506444,-13.577569717601856,-13.65842298612794,-13.486095955242003,-15.64599633723365,-10.929427301976435,-12.719163475377057
19,rice,23.383048759202666,75.85714806958642,-11.748238661251891,-7.652232578485773,-8.891902372713162,-15.296176540388508,-12.003680160572348,-13.907214515840122,-16.049886746198343,-9.923951431276912,-9.286979321247262,-12.972862349820067,-9.231324612001956,-7.729511471456204
20,rice,23.38746045495797,75.84753503247704,-8.174996406767125,-6.318824807086884,-8.625887782028315,-12.860438428779178,-7.845883222175583,-9.029290578609896,-7.948316578383387,-11.190028319003446,-12.15871991521553,-17.15368782581395,-9.051068309065446,-10.237448773789184
21,rice,23.38178824772144,75.84822167798485,-8.755335604507259,-8.524646155730622,-8.351474046556573,-6.941796855272858,-9.346681080091589,-8.78474725971799,-10.595469685859287,-7.084155792418047,-7.398249471025907,-5.898519868617972,-12.538140626719317,-8.75568060012844
22,rice,23.38462438169242,75.85165490552392,-9.802629080618106,-7.931257755294316,-7.340592425794119,-13.197857373351082,-11.933080987390618,-13.463224896156962,-8.102451034175175,-7.995381936648563,-10.900884040013604,-10.23634093409212,-6.782330959440794,-10.27739587316707
23,rice,23.38367901044685,75.86264123364892,-8.286450993324749,-5.163867134464628,-1.2995684344300726,-5.02784614073038,0.2646091883223391,-5.4416416311495865,-3.999748689362932,-6.302757416227765,-1.902228302568523,-0.4879309190401684,-4.228751173761287,-1.1019187587739463
24,rice,23.38367901044685,75.85440148755517,-11.766585580049084,-9.095288059509706,-9.83705340812105,-16.035280297099252,-10.950728151039108,-15.98157176407599,-12.915172325526264,-10.340742883105648,-11.67673683801044,-14.167821737683184,-6.134440939421099,-10.272037452644952
25,rice,23.39344752136181,75.86058129712548,-7.20596335998644,-13.49807983140538,-11.490222805637044,-13.17564390074368,-10.31279713588763,-11.643943866291144,-13.803843627394675,-13.07590716940046,-15.767232400729272,-17.914643415106422,-8.203268526497148,-11.063569437416527
26,rice,23.394392822898475,75.8564614240786,-9.16991797120347,-9.719703861660395,-8.916170194650412,-14.285641023138446,-12.111653077819376,-11.008180527749492,-11.025444990727454,-12.763832624081386,-12.983430711681372,-18.175292932988132,-14.51148366564854,-11.78456670879334
27,rice,23.394077723135936,75.85955132886376,-11.993422858225165,-6.018949737485329,-14.607879826896736,-12.189860320974766,-12.41250493893492,-14.863753366680196,-11.134333488428387,-15.241328786681134,-11.20709122300501,-12.368203497509832,-7.686847207546313,-9.963121578824984
28,rice,23.39596831046568,75.85268487378563,-4.78137535239444,-13.208117635267053,-12.331888963742784,-11.0240999898787,-8.11567800312227,-15.431005120277552,-13.269771685201766,-12.757774065012322,-18.48559927126889,-10.450033726751595,-16.151086141105818,-14.597692091062369
29,rice,23.392502213078146,75.85714806958642,-9.30786944717106,-9.144079798067953,-9.711360034154064,-9.230151239772429,-10.248874422513529,-14.212876624546045,-14.242513883667678,-10.957595010713968,-12.834700380206636,-10.95993494698684,-13.420578484234031,-13.558059436297436
30,rice,23.392502213078146,75.8671044294497,-6.6998942731980495,-7.270561985883452,-10.9183867504694,-13.051056762801128,-14.811709857138144,-11.478841455786572,-12.75256577786665,-14.69961114660995,-11.184501900468335,-13.664798360630916,-9.322651692161443,-11.45779297595852
31,rice,23.38399413494481,75.86264123364892,11.009446006658,10.2373323372027,10.269067237073628,9.457692363129844,10.091180613620152,10.341079557182857,9.789998737266918,9.905351296124996,9.133294920484284,10.384831676213135,8.403425099388338,9.939369637157943
32,rice,23.4010097447216,76.01095666333642,-8.998910057368034,-10.335364853882083,-7.676386633516073,-9.081414396391004,-8.443891492070364,-8.264068582641773,-10.98464503442516,-8.960911543791907,-10.456319445052078,-10.89547316755076,-14.23214442228286,-8.567071587501905
33,rice,23.40132482798917,76.04116906568017,-10.011783343835814,-9.552637814677151,-12.618064347596096,-14.90614903206786,-15.44817674740604,-16.983308988744483,-12.628665914169604,-12.88429798547589,-12.244091337271934,-13.10623446881212,-10.635909337561175,-12.013635062202912
34,rice,23.38241850496085,76.02949609204735,-8.485334776450225,-5.544677326455652,-7.134651130749129,-7.166601088183588,-3.606641430774389,-8.440479132124622,-9.731703073683809,-11.527552241260038,-12.492971353222412,-10.38332638671342,-12.720861058686658,-10.111642228346144
35,rice,23.38430925869332,75.96357812329735,-7.175115650631581,-14.380448102373723,-9.06609871605886,-9.742110309404366,-9.316236630641187,-12.926836267273764,-6.230263050896333,-7.873531558828155,-8.732900346688629,-11.01973969358152,-10.415177647528129,-10.469217799301738
36,rice,23.3877755704622,76.01988305493798,-9.124579957538325,-9.461923297846628,-7.430649020628589,-9.38316312733553,-10.382730186208814,-13.020330955037192,-9.049970975048476,-10.313474933243832,-10.4314593282544,-9.961686063450582,-11.14006942607558,-12.007129137031669
37,rice,23.40227007329273,75.99482049390282,-18.25485692787768,-17.08752012162447,-15.316316711162424,-10.011765174465296,-7.867450715873842,-8.3813332231663,-11.443254975333463,-10.733500456880884,-12.70807092874129,-11.379475479889091,-11.687790856120069,-14.890816301049565
